Text,Label
"Supply Quality China's EXCLUSIVE dimensions at Unbeatable Price.Dear Sir, We are pleased to inform you as one of China's largest export & import sto=ne company-Wanlistone Group, The Group its subsidiaries specialize in the q=uarrying, processing and Sales of dimension stone, slab and tiles and dimen=sion stone products for the building materials sector and specialty markets==2E The Group operations are based in Xiamen, South of China, which is the lar=gest export and import business portals in China where Wanlistone owns and =operates various natural stone deposits with 6,Non_PhishingNon_PhishingNon_Phishing square meters through th=e country. In addition to the quarries Wanlistone has a fully automated pro=cessing plant for the processing of the granite and marble and granite prod=ucts. Wanlistone supplies granite in raw block form, granite and marble tile and= strips of varying dimension, memorial materials and specialty products to =both the local but more specifically the export markets. The Group has a full rang of the China natural stone products including Pink color G636, G6Phishing7, G635, G663, Yellow color, G682,Dark G654, Black G68=",Phishing
over. SidLet me know. Thx.,Non_Phishing
"Dear Friend,Greetings to you.I wish to accost you with a request that would be of immense benefit to both of us. Being an executor of wills, it is possible that we may be tempted to make fortune out of our client's situations, when we cannot help it, or left with no better option. The issue I am presenting to you is a case of my client who willed a fortune to his next-of-kin. It was most unfortunate that he and his next-of-kin died on the same day the 3Phishingst October Phishing999 in an Egyptian airline 99Non_Phishing with other passengers on board. You can confirm this from the website below which was published by BBC WORLD NEWS.WEBSITE.http:/ews.bbc.co.uk/Phishing/hi/world/americas/5Non_Phishing25Non_Phishing3.stm.I am now faced with confusion of who to pass the fortune to.According to the English law, the fortune is supposed to be bequeathed to the government,if nobody comes forward as the next of kin within seven years of the demise of the benefactor of the will. My purpose of contacting you is to seek your acting as the beneficiary of the will, and lay claim to the legacy of $7million, which my deceased client  bequeathed to his next-of-kin. For now, I alone know about his will, as my client had great confidence in me.Everything will be left between you and I. The share would be 25% for you and 75% for me. I would want to give a huge part of my share to the tsunami victims,as this is my primary objective. All I have to do is amend the will or add a codicil to make you the beneficiary to the $7million legacy.Again, I feel that you may apprehensive and consider this amount too big for you to defend. It does not matter, as there are documents to back it up.This is a legacy being passed on to a next-of-kin. As I am not very sure of getting your consent on the issue I prefer not to divulge my full identity so as not to risk being disbarred. The English Bar considers it a breach of the oath of the English Bar. I need not emphasize to you that the sensitivity of this issue need not be toyed with by neglecting its confidentiality. I therefore appeal to you not discuss this request with anybody, even if you decline my request.I look forward to hearing from you soon.Yours trulyStephen Ayling.",Phishing
"MR. CHEUNG PUIHANG SENG BANK LTD.DES VOEUX RD. BRANCH,CENTRAL HONG KONG,HONG KONG. Let me start by introducing myself. I am Mr.Cheung Pui director of operations of the Hang Seng Bank Ltd. I have an urgent business suggestion for you.I honestly apologize and hope I do not cause you much embarrassment by contacting you through this means for a transaction of this magnitude,but this is due to confidentiality and prompt access reposed on this medium.Furthermore,due to this issue on my hands now,it became necesary for me to seek your assistance, and it is imperative for me to know your opinionBefore the U.S and Iraqi war our client Major Fadi Bassem who was with the Iraqi forces and also business man made a numbered fixed deposit for Phishing8 calendar months, with a value of Twenty Four millions Five Hundred Thousand United State Dollars only in my branch. Upon maturity several notice was sent to him, even during the war early this year. Again after the war  another notification was sent and still no response came from him. We later find out that the Major and his family had been killed during the war in bomb blast that hit their home.After further investigation it was also discovered that Major Fadi Basem  did not declare any next of kin in his official papers including the paper work of his bank deposit. And he also confided in me the last time he was at my office that no one except me knew of his deposit in my bank. So, Twenty Four millions Five Hundred Thousand United State Dollars is still lying in my bank and no one will ever come forward to claim it. What bothers me most is that according to the laws of my country at the expiration 5 years the funds will revert to the ownership of the Hong Kong Government if nobody applies to claim the funds. Against this backdrop, my suggestion to you is that I will like you as a foreigner to stand as the next of kin to Major Fadi Basem  so that you will be able to receive his funds. WHAT IS TO BE DONE:I want you to know that I have had everything planned out so that we shall come out successful. I have contacted an attorney that will prepare the necessary document that will back you up as the next of kin to Major Fadi Basem , all that is required from you at this stage is for you to provide me with your Full Names and Address so that the attorney can commence his job. After you have been made the next of kin, the attorney will also file in for claims on your behalf and secure the necessary approval and letter of probate in your favor for the move of the funds to an account that will be provided by you.There is no risk involved at all in the matter as we are going to adopt a legalized method and the attorney will prepare all the necessary documents. Please endeavor to observe utmost discretion in all matters concerning thisissue.Once the funds have been transferred to your nominated bank account we shall share in the ratio of 7Non_Phishing% for me, 25% for you and 5% for any expenses incure during the transaction. Should you be interested please send me your full names and current residential address and I will prefer you to reach me via my private box, {che_Pui67@yahoo.com.hk} and finally after that i shall provide you with more details of this operation.Your earliest response to this letter will be appreciated.Kind Regards,Mr Cheung Pui.___________________________________________________________________________Mail envoy� par le service WebMail du Site PHP-Nuke- http://www.forcetacticalarmy.com",Phishing
Not a surprising assessment from Embassy.,Non_Phishing
Monica -Huma Abedin <Huma@clintonemail.com>Tuesday June 29 2Non_PhishingPhishingNon_Phishing 6:Non_PhishingPhishing AM'hanleymr@state.gov'; HRe:is already is locked for tonite. I am seeing her right before actually.,Non_Phishing
Pis print.H <hrodPhishing7@clintonemail.com>Thursday October 8 2Non_PhishingNon_Phishing9 8:Non_PhishingPhishing PM'JilotyLC@state.gov'Fw: WHI - powder coatingB6,Non_Phishing
Dear Tom--H <hrodPhishing7@clintonemail.com>Friday December PhishingPhishing 2Non_PhishingNon_Phishing9 5:4Phishing PMCould we schedule a call?I have several matters I'd like to discuss w you this weekend and was hoping we can schedule a call. I'm free tonightafter PhishingNon_Phishing; tomorrow btw 8-PhishingNon_Phishingam and Sunday btw 8-ham and after PhishingNon_Phishingpm. Do any of those times work for you?And by the way I'm still laughing about the yurt! Hillary,Non_Phishing
Greetings from barrister Robert Williams=2CDear friend=2C I know that my letter will come to you as a surprise=2C b=ased on the fact that we have not been in contact for the first time eit=her in person or by correspondent=2E But I believe that relationship sta=rts just a day=2E My name is barrister Robert Williams I am a British ci=tizen=2C am 42 years old and married with three kid=92s two boys and a g=irl=2E As it will please you to know how I came about your contact=2C I =got your contact from my personal search via internet I was pleased with= such information I gathered about you=2E I summoned the courage to enga=ge you in a business relationship that will be of achievement to both of= us=2E As a matter of urgency and great value my main reason of contacti=ng you today is based on a business transaction that one of my clients w=ho is a senior bank director disclosed to me=2E In order to transfer the= sum of (US=24Phishing7=2E5M) seventeen million five hundred thousand united st=ate dollars which was deposited in their bank by some top government off=icials =into any reliable foreign bank account=2E I was mandated to search for a=n honest partner abroad who can work jointly with us to achieve this gre=at opportunity=2E Those funds was deposited in there bank in 2Non_PhishingNon_Phishing2 by some African top pol=iticians who used their position in their offices to embezzle government= treasury some of those politicians ran away from their country as soon =as new government took over power to avoid probing them for their misapp=ropriation and embezzlement of government funds=2E The new government in= power has ordered for the confiscation of their properties including th=eir bank accounts for their evil operation=2E From my discussions with t=he senior director before contacting you he told me that financial autho=rity will be visiting their bank by next month for investigation however= I was convinced that the deal must be successful and risk free as the f=unds will be transferred secretly to your account without hitch I promis=e not to relate this deal to any other person till I hear from you=2E Be=er in mind that none of us will like to be involved in any kind of busin=ess that will stain or jeopardize his position in the office as we all have names to protect in the society=2E note that all mechan=ism has been mapped out for the actualization of this project=2E =This project will be concluded within 7=5FPhishing4 bank working days from the =day we start the process=2E I will give you more details and the next st=ep as soon as I confirm your ability and interest to participant in this= project=2E My assurance to you is that this project will not effect or =harm you as we will provide all the necessary documents that will cover =the transfer to your account=2E What I need from you is to provide an ex=isting bank account or set up a new account were the money will be trans=ferred to in your name considering the source of the funds you are entit=led to 25=25 for your assistance while 7Non_Phishing=25 will be for us as the origi=nator of the deal while 5=25 will be kept aside for any expenses that we= may encore on the process of arranging the necessary documents that wil=l help us facilitate the deal =2E Confirm your acceptance to me by=2E Th=anks for your understanding and remain blessed as I wait for your urgent= responds=2EYours sincerely=2CRobert Williams Esq=2E          =,Phishing
FYI. Thanks again for signing the book ---- and I do hope you get royalties from Mongolia! Also thought you would like tosee the attached letter to President Clinton.,Non_Phishing
Pls putRELEASE IN PARTB6H <hrodPhishing7@clintonemail.com>Friday July 3Phishing 2Non_PhishingNon_Phishing9 3:25 PM'JilotyLC@state.gov'; 'Russorv@state.gov'Fw: Bravalon call list and do letter to her wishing her well etc. B6,Non_Phishing
Not sure about SRAP. I'll forward it on. Hope the trip is going well.Jm,Non_Phishing
"SOLICITING FOR A BUSINESS VENTURE AND PARTNESHIP.DEAR SIR,I AM THE SON OF THE LATE PRESIDENT OF THE FEDERAL REPUBLIC OF ZAIRE, =PRESIDENT MOBUTU SESE SEKO,(NOW REPUBLIC OF CONGO UNDER THE LEADERSHIP OF THE =SON OF MR. LAURENT KABILA) I PRESUME YOU ARE AWARE THERE IS A FINANCIAL =DISPUTE BETWEEN MY FAMILY (THE MOBUTU=92S) AND THE PRESENT CIVILIAN =GOVERNMENT. THIS IS BASED ON WHAT THEY BELIEVE AS BAD AND CORRUPTS GOVERNANCE =ON MY LATE FATHER=92S PART.  MAY HIS SOUL REST IN PEACE.PRESENTLY, WE CANNOT DO BUSINESS HERE IN HOLLAND AND MANY OTHER COUNTRIES OF =THE WORLD BECAUSE OF THE NEW FRIENDLY RELATIONSHIP BETWEEN THE PRESENT =GOVERNMENT AND THE WESTERN WORLD AS YOU MIGHT HAVE HEARD HOW A LOT OF MY =FATHER=92S BANK ACCOUNT IN SWITZERLAND NORTH AMERICAN HAVE SINCE BEEN FROZEN.=FOLLOWING THE ABOVE MENTION REASONS, I AM SOLICITING FOR YOUR HUMBLE AND =CONFIDENTIAL ASSISTANCE TO TAKE CUSTODY OF TEN MILLION FIVE HUNDRED THOUSAND =UNITED STATES DOLLARS (US$PhishingNon_Phishing.5) AND (5KG OF DIAMOND) ALSO TO FRONT FOR ME IN =THE AREAS OF BUSINESS YOU DESIRE PROFITABLE. THIS SUM OF US$PhishingNon_Phishing.5M AND DIAMOND =HAS SECRETLY BEEN DEPOSITED INTO A CONFIDENTIAL SECURITY COMPANY, WHERE IT =CAN EASILY BEEN WITHDRAWN OR PAID TO A RECOMMENDED BENEFICIARY.THIS FUNDS WILL BE RELEASED TO YOU BY THE SECURITY COMPANY BASED ON MY =RECOMMENDATIONS ON THAT NOTE, YOU WILL BE PRESENTED AS MY PARTNER WHO WILL BE =FRONTING FOR ME AND MY FAMILY IN ANY SUBSEQUENT VENTURES.TO SHOW MY PREPAREDNESS AND THE APPRECIATION TO CONDUCT THIS BUSINESS WITH =YOU I SHALL GIVE YOU 2Non_Phishing% OF THE FUNDS AND 2Non_Phishing% COMMISSION ON ANY PROFIT =REALIZABLE IN THE PROCESS OF INVESTMENT OF THIS FUNDS FOR YOUR ROLE IN THIS =BUSINESS,WE ARE WILLING TO MAKE AVAILABLE 5% FOR ANY EVENTUAL EXPENSE THAT =MAY OCCUR IN THE PROCESS OF THIS TRANSACTION.PLEASE, I NEED YOUR ENTIRE SUPPORT AND CO-OPERATION FOR THE SUCCESS OF THIS =BUSINESS VENTURES, YOUR UTMOST CONFIDENTIALITY AND SECRECY IS HIGHLY =REQUIRED, DUE TO MY FAMILY PRESENT PREDICAMENT.I SINCERELY WILL APPRECIATE YOUR ACKNOWLEDGEMENT AS SOON AS POSSIBLE. YOU CAN =MAIL ME ON THIS E-MAIL:nzangamobutu@myself.comBest regards,MR. NZANGA MOBUTU.   --Non_Phishing4f5Non_Phishing36b-d7fe-4bfc-a8Non_PhishingPhishing-3fa742ad9a6b--",Phishing
" Dear Sir/Madam,Compliments of the season. It is indeed my pleasure to write to you thisletter, which I believe you will welcome it . Mr Edward Govou, the manage=r,creditand foreign bills of Eco Bank du Benin-Rep.I am writing in respect of a foreign customer of my bank who perished Eyg=ptianAir Flight with the whole passengers aboard on 3Phishingst oct Phishing999, Since thedemise of this our customer,I personally as watched with keen interest to=see the next of kin but all has proved abortive as no one has come to cla=imhis fund of $4.25Non_Phishingm[Four Million Two Hundred and Fifthy Thousand Dollars]in a dormant account which has been with my branch for a very long time.=You are advice to receive this fund in to your bank account since there no person to aply to receive this fund as the next of kin.this transacti=onis LEGAL AND LAGITIMATE.There after I and my collegues will visit your co=untryfor disbursment.All the important document in this will be send to you to=proved.On this note, I decided to contact you to be the next of kin as no one ha=scome up as his relation and the paying department has been look for theor=iginalnext of kin to the deceased that died. And the country law here does notallow such money to stay more than Five years, for the money will be reca=lledto the gvernment treasury as unclaimed after this period.Upon the receipt of the required bellow of your information response, Iwill send to you the application form in which you fill and aply for therelease the to you,and the bank's contact information regard to this tran=saction.I will not fail to bring to your notice that this is PhishingNon_PhishingNon_Phishing% free and you sh=ouldnot entertain any fear as all modalities for fund transfer can be finaliz=ed within six banking days, after you apply to the bank as a original relat=ionto the deceased.There after I will fly down in your country for disbursment according tothe percentages in claiming of the deposits and its transfer to your posi=tion,we shall share the funds in the mutual understanding as we agreed .When you receive this letter, kindly send me an e- mail signifying yourgood decision TO RECEIVE THIS FUND PEACEFULY. And also forward to me therequied information as to be the original bebeficiary to transfer the fun=din your name and favour .YOUR FULL NAME.YOUR ADDRESS.YOUR BANKING DETAIL INFORMATION WERE YOU WANT THIS FUND TO BE TRASFERED.YOUR DIRECT MOBILE PHONE/FAX NUMBER FOR COMMUNICATION .Upon receive all these I forward your information required to the payingdepartment enable them recorganise you as well i will send to you a textof application inwhich you will fill and apply for the immediately realse=dof this fund as original NEXT OF KIN.Also I will like you to treat thistransaction with the utmost secrecy because of my position in this bank.oping for a very successful business relationship and benefit with you.ur=gentlycontact me through the above vai email or at bgovou@hotmail.comRespectfully submitted,>From Mr Edward Govou.------------------------------------------Use o melhor sistema de busca da InternetRadar UOL - http://www.radaruol.com.br",Phishing
"Dear Bill and TomI'm sorry that I cannot be on the Hill today as we had long planned but very grateful that you both will be. TheDepartment and I appreciate your leadership everyday.So I'll be nursing my cracked head and cheering you on as you ""remain calm and carry on""!Happy Holidays--HU.S. Department of StateCase No. F-2Non_PhishingPhishing5-Non_Phishing484PhishingDoc No. CNon_Phishing5739849Date: Non_Phishing5/Phishing3/2Non_PhishingPhishing5STATE DEPT. - PRODUCED TO HOUSE SELECT BENGHAZI COMM.SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER. STATE-SCBNon_PhishingNon_Phishing45832",Non_Phishing
"I am Dr. Usman ali, I am a former specialAdviser on Petroleum matters to the late Head of StateOf Nigeria Gen. Sani Abacha. Because of my strategicPosition in the former Government and also being aClose confidant of the late Head of State.I was able to acquire personally the sum of$Phishing2,5Non_PhishingNon_Phishing,Non_PhishingNon_PhishingNon_Phishing.Non_PhishingNon_Phishing USD (Twelve Million, Five HundredThousand United States Dollars only) presently lodgedIn Security Company inform of Gold Bars in a securitycompany here in Nigeria. I did not want the managementof the Security Company to know the content of theconsignments; therefore I registered the content ofthe consignments as Gold Bars. Now, the securitycompany believes that what I deposited with them wasGold BarsI made this money largely through ""CONSULTANCY FEE""And ""Good Faith Fees"" paid by foreign Oil companiesPrior to Allocation of Deep Water Oil Blocs and otherLifting/prospecting Rights (Nigeria is the 6th largestProducer/Exporter of Crude Petroleum in the World.As you are probably aware Nigeria is prone to MilitaryCoups and the resultant Political/Economic Instabilityhas fueled hyper Inflation, amongst other problems.I have therefore resolved to invest my money abroad,preferable in Real Estate Properties and Importationof Goods from your country for safety and optimumreturns on Investment.However, straight transfer of this money into a bankabroad will present two major problems one, the taxincidence will be too high, as much as 6Non_Phishing% of thismoney will go up in Taxes, Levies, Penalties etc. as aresult of Government deliberate restrictions on flightof capital Abroad. And also been accused of moneylaundering and terrorism, The solution is to Courier this moneycash abroad in form of consignment, through Courierservice Company here in Nigeria inConjunction with an embassy here in Nigeria, the moneywill be packed in a ""Diplomatic Bag/Carton"" taggedDiplomatic luggage that will be address to you.This system is secret and the money is thereforeUntraceable. It is system used by most top Governmentofficials to remove their fortunes to safety abroad.I have therefore concluded every arrangements with aCourier Company in Nigeria to Courier this moneyabroad using the courtesy and safety of DiplomaticBag. All I now need is an honest partner who canreceive the money on my behalf and help me to investas aforementioned. There is absolutely no riskinvolved in this transaction as the money will bedelivered to you in United States Dollars Bills.If you are interested in assisting me, please send tome by email immediately your preferred contact addresswhere this money will be delivered to you, upondelivery, you are to lodge this money in a bankaccount and contact me for necessary arrangements forthe investment.For your help and assistance in this deal, you willreceive Phishing5% of this money in cash or Equity if youwish to join the proposed company.I have notified the Security Company where I depositedthe consignments that contained the fund, that I ammoving the consignment abroad and the security companyhas since been waiting for my authority for theconsignment to leave my country and move to abroad.So if you know that you will use this fund honestly asI have instructed.and the details will be given to you on how you willbe able to receive the fund in your country throughthe security company. You should also forward to meyour telephone and fax number for easy communicationand to fax you the documents concerning theconsignments.Your prompt response will be highly appreciated.Best regardsDr. Usman ali",Phishing
The letter is good to go w me. HRC.,Non_Phishing
Yes -- Stephens is in DC all day we can work with Ops on the call. I don't think we need to push the Angolans more thanPhishing5 minutes so should be fine. Should I move forward and adjust?,Non_Phishing
Yes lona has it on list,Non_Phishing
"Required information.Phishing) Your full name and address2) Your private phone, mobile and fax number where you can always be reach. As Soon as your information is been received by my attorney, he will also issue a Letter of Authority and power of attorney on this regard, making you the original beneficiary of this fund with other related documents. My happiness is that I lived a life worthy of emulation. Please always be prayerfully all through your life.Any delay in your reply will give me room in sourcing for a non-governmental, a non-religious, and or a non-profit organization better still an individual for this same purpose. Please assure me that you will act just as I have stated herein. Hope to hear from you soon and God bless you and members of your family.Mrs. Elena Owen. Benefactor ___________________________________________________________________________Mail sent from WebMail service at PHP-Nuke Powered Site- http://yoursite.com",Phishing
Burns this is going to happen. We are committed to herwork and other docs like her. Lyn heard rumors about acompetitive hospital etc. We will work this out.HRC did the event at her hospital after all.,Non_Phishing
"DEAR SIR/MADAM,MY NAME IS ENGINEER. TONY EDEM THE DIRECTOR GENERAL WITH THE MINISTRY OF WO=RKS AND HOUSING HERE IN NIGERIA. I WISH TO EXTENT THIS BUSINESS RELATIONSHI=P TO YOU WITH THE HOPE THAT YOU WILL ACCEPT IT. IN THE YEAR Phishing999, MY MINIST=RY AWARDED A CONTRACT TO A FOREIGN FIRM FOR BUILDING OF 62Non_Phishing HOUSING ESTATE =AND CONSTRUCTION OF A STADIUM IN ABUJA THE NEW CAPITAL TERRITERY MEANT FOR =THE CONCLUDED ALL AFRICAN GAMES WHICH NIGERIA HAVE HOSTED BY OCTOBER THIS Y=EAR.DURING THE TIME OF AWARDING THIS CONTRACT, MYSELF AND SOME TOP MEMBERS OF C=ONTRACT AWARDING COMMITTEE AGREED AND OVERINVOICED THE VOLUM OF THE CONTRAC=T WITH ADDITIONAL SUM OF $2Phishing MILLION U.S.A DOLLARS, WHICH WAS MEANT TO TAKE= CARE OF US.AS AT LAST YEAR, THE CONTRACTOR HAD COMPLETED THE PROJECT AND F=ULLY PAID.FOR NOW THE OVERINVOICED SUM OF $2Phishing MILLION U.S. DOLLARS IS WITH THE CENTRA=L BANK OF NIGERIA. AND MYSELF AND PARTNERS HAVE ALSO COMPLETED ARRANGMENT W=ITH TOP OFFICIAL OF THE BANK ON HOW TO RELEASE THIS MONEY, BUT FOR THE FACT= THAT THE ORIGINAL CONTRACTOR WAS A FOREIGNER WE ARE NOW LOOKING FOR A FORE=IGN PARTNER WHO WILL ASSIST US BY GIVING US ANY BANK ACCOUNT OF HIS/HER CHO=ICE TO ENABLE US ACCOMPLESH THIS BUSINESS.BASED ON THIS IAM NOW SOLICITING FOR YOUR KIND HELP TO GET THIS MUTUAL BUSI=NESS GO THROUGH.WHAT I NEED FROM YOU IS AN ACCOUNT WHERE THIS MONEY WILL BE= TRANSFERED INTO. EVERY ARRANGMENT HAVE BEEN PUT IN PLACE TO MAKE SURE THE =BUSINESS RUNS SMOOTHLY. TO THIS END, THE BUSINESS IS PhishingNon_PhishingNon_Phishing% RISK FREE. IN YOU=R ACCEPTANCEREPLY, WE SHALL NEGOTIATE THE PERCENTAGE THAT WILL BE GIVEN TO YOU FOR ASSI=STING US.I LOOK FORWARD FOR YOUR KIND AND IMMEDIATE RESPONSE.",Phishing
Madame Secretary:Thank you for reaching out to Secretary Solis and convincing her to join the Verification Commission. She and RicardoLagos will make for a very high profile and effective international component of the Commission.We will meet with her this morning at PhishingNon_Phishing am to brief her for Tuesday's journey to Honduras. At this point it appears wehave a military aircraft available. The plan is for the U.S. Delegation to depart D.C. stop in Miami to pick up RicardoLagos and arrive in Tegucigalpa together. We think this will send a powerful message to Hondurans and leave no doubtabout our commitment to seeing this process through to a successful conclusion.You should be aware that Ambassador Hugo Llorens is under public assault. The Wall Street Journal dedicates itsAmerica's column this morning to attacking him and calling for his removal. Last Friday Representative Connie Mack didthe same. This chorus will grow as the extent of our accomplishment is understood. Llorens is a tough stalwart guy. Heand his Mission have held firm during this crisis. A call from you would be a big boost.Finally we will hold an IPC today to identify further steps. We will keep you up to date on these steps and identifyfurther opportunities for your engagement.I want to thank you for your leadership and support during this long crisis. Your willingness to engage at key momentsand take risks at the right time have propelled us much further than anyone expected. Your diplomacy prevented adebilitating civil conflict in Honduras that would have destabilized Central America and undermined two decades of ourefforts. We now have a big opportunity in front of us and for that we are grateful to you.RegardsTom,Non_Phishing
Fyi,Non_Phishing
